question_number,proj_name,quest_answered,prop_format
1,0,2,0
2,0,2,0
3,1,2,0
4,0,2,1
5,0,2,1
6,0,2,2
7,0,2,2
8,0,2,2
9,0,2,2
10,1,2,2
11,1,2,1
12,2,2,2
13,2,2,2
14,1,2,2
15,2,2,2
16,0,0,0
17,2,2,2
18,0,2,2
19,1,2,2
20,2,2,2
21,2,2,2
22,2,2,2
23,0,2,2
24,2,2,2
25,0,2,2
26,0,2,2
27,0,2,2
28,0,2,2
29,0,0,0
30,0,2,2
31,0,2,2
