question_number,proj_name,quest_answered,prop_format
1,0,1,0
2,0,0,0
3,2,2,2
4,0,2,1
5,1,1,1
6,2,2,1
7,0,0,0
8,0,2,1
9,0,2,1
10,2,2,1
11,2,1,1
12,2,1,0
13,2,1,0
14,0,2,0
15,2,2,1
16,0,0,0
17,2,2,1
18,1,2,1
19,1,2,1
20,1,2,2
21,1,2,1
22,2,2,1
23,1,2,1
24,2,2,1
25,0,2,1
26,0,2,1
27,0,0,1
28,0,1,0
29,0,0,1
30,0,2,1
31,0,2,1
