question_number,proj_name,quest_answered,prop_format
1,1,1,0
2,0,2,1
3,0,2,2
4,2,2,2
5,2,2,1
6,2,2,2
7,2,2,2
8,2,2,2
9,0,2,2
10,2,2,2
11,2,2,2
12,2,2,0
13,2,2,2
14,0,2,2
15,2,2,2
16,2,2,2
17,2,2,2
18,2,2,2
19,2,2,2
20,2,2,2
21,0,2,2
22,2,2,2
23,2,2,2
24,0,2,2
25,2,2,2
26,2,2,2
27,0,2,1
28,0,2,2
29,1,2,2
30,2,2,2
31,2,2,2
