question_number,proj_name,quest_answered,prop_format
1,0,1,0
2,0,1,0
3,0,1,0
4,1,2,1
5,2,2,1
6,2,1,1
7,2,2,1
8,2,1,1
9,2,1,1
10,2,1,1
11,2,2,1
12,2,1,1
13,2,1,1
14,2,1,1
15,2,1,1
16,0,1,1
17,2,1,1
18,2,2,1
19,2,2,1
20,2,2,1
21,2,2,1
22,2,2,1
23,1,2,1
24,2,2,1
25,1,2,1
26,2,2,2
27,0,0,1
28,0,0,1
29,2,2,1
30,2,1,1
31,2,2,1
