question_number,proj_name,quest_answered,prop_format
1,0,0,0
2,0,2,0
3,0,0,0
4,0,2,1
5,0,0,0
6,1,2,1
7,0,0,0
8,0,2,2
9,0,2,0
10,2,2,1
11,0,2,1
12,2,2,2
13,2,2,1
14,1,2,2
15,2,2,2
16,0,0,0
17,0,0,0
18,1,2,2
19,0,2,2
20,0,2,2
21,0,2,2
22,2,2,1
23,0,2,2
24,0,2,2
25,2,2,2
26,0,2,0
27,0,0,0
28,0,2,1
29,0,0,0
30,1,2,1
31,0,0,0
