question_number,proj_name,quest_answered,prop_format
1,0,1,0
2,0,1,0
3,2,2,2
4,0,0,0
5,2,1,1
6,0,1,0
7,0,1,0
8,0,1,0
9,0,1,0
10,1,1,0
11,2,1,0
12,2,2,2
13,2,2,0
14,2,0,0
15,2,2,2
16,2,2,0
17,2,2,1
18,2,2,1
19,2,2,2
20,1,2,1
21,1,1,0
22,0,1,1
23,0,1,1
24,0,1,2
25,0,0,2
26,0,0,2
27,0,0,2
28,0,0,2
29,0,0,0
30,1,2,2
31,0,0,2
