question_number,proj_name,quest_answered,prop_format
1,0,1,0
2,0,2,1
3,1,2,2
4,0,2,2
5,0,2,2
6,2,2,2
7,0,2,1
8,0,2,2
9,0,2,2
10,2,2,2
11,1,2,2
12,2,2,2
13,2,2,2
14,1,2,2
15,2,2,2
16,0,2,2
17,2,2,2
18,0,2,2
19,0,2,2
20,1,2,2
21,2,2,2
22,2,2,2
23,1,2,2
24,1,2,2
25,1,2,2
26,0,2,2
27,0,2,2
28,0,2,2
29,2,2,2
30,0,2,2
31,0,2,1
