question_number,proj_name,quest_answered,prop_format
1,1,2,0
2,0,0,0
3,2,2,2
4,0,0,0
5,0,2,0
6,0,0,0
7,0,2,2
8,0,0,0
9,0,0,0
10,1,2,1
11,0,0,0
12,2,2,2
13,2,2,2
14,2,2,2
15,0,0,0
16,0,0,0
17,2,2,2
18,2,2,2
19,0,2,2
20,0,0,0
21,2,2,2
22,2,2,2
23,1,2,2
24,0,2,2
25,0,2,2
26,0,0,0
27,0,2,2
28,0,0,0
29,0,0,0
30,0,2,2
31,0,0,0
